Probe,Prompt,Layer,Coeff,FPR_Rate,Steer_Rate
MM_L25_P0_dPrim1.70_dVal1.35.pt,Unified,25,0.0,100.00,0.00
MM_L25_P0_dPrim1.70_dVal1.35.pt,Unified,25,2.0,100.00,0.00
MM_L25_P0_dPrim1.70_dVal1.35.pt,Unified,25,5.0,0.00,0.00
MM_L25_P0_dPrim1.70_dVal1.35.pt,Unified,25,8.0,100.00,5.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,-8.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,-5.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,-2.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,0.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,2.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,5.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Evaluation,24,8.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,-8.0,0.00,5.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,-5.0,0.00,5.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,-2.0,0.00,5.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,0.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,2.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,5.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Anthropic,24,8.0,0.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,-8.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,-5.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,-2.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,0.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,2.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,5.0,100.00,0.00
MM_L24_P0_dPrim1.69_dVal1.35.pt,Unified,24,8.0,100.00,5.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,-8.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,-5.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,-2.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,0.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,2.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,5.0,0.00,5.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Evaluation,23,8.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,-8.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,-5.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,-2.0,0.00,5.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,0.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,2.0,0.00,5.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,5.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Anthropic,23,8.0,0.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,-8.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,-5.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,-2.0,0.00,0.00
